,0
0,หยุดคิดแบบนี้ หยุดคิดเลย
1,รู้สึกดีทั้งที่เป็นแค่เพื่อนกัน
2,หยุดไว้แค่นี้ หยุดไว้เลย
3,ได้โปรด เธออย่าเล่นเกินไปกว่านั้น
4,เล่นทักมาหาฉันเสมอแทบทุกคืนวัน
5,มากเกินกว่าเพื่อนควรจะเป็น
6,เล่นเป็นห่วงฉันแม้ในเรื่องที่ไม่สำคัญ
7,เธอชอบมาทำให้ฉัน เอ๊ะ ยังไง
8,ที่เล่นแบบนี้นั้นมันแปลว่าไง
9,ฉันยังสับสนและสงสัย
10,เป็นเพื่อนกันต้องเล่นแบบไหน
11,ได้แต่พยายามจะไม่คิดอะไรที่ไม่ควรคิด
12,เวลาที่เราใกล้ชิดมากไป
13,รู้ตัวอีกทีในใจมีแต่คำถาม
14,มากมายเกินจะทนไหว
15,บอกฉันทีจะได้ไหม
16,ถ้าเธอให้ฉันเป็นเพื่อนเล่น
17,อย่าเล่นเกินกว่านั้นได้ไหม
18,ถ้าฉันเล่นเกินเส้นไป เธอรับได้ไหม
19,ช่วยบอกฉันสักที ว่าที่ฉันยืน
20,เธอยืนที่เดียวกันไหม
21,หยุดเล่นเกินเพื่อนเล่น
22,เอ่อคือตอนนี้เราเป็นแค่เพื่อนกัน
23,และฉันก็คิดอยากมีสิทธิ์มากกว่านั้น
24,(อ๋อ ได้เลย)
25,งั้นเธอคือเพื่อนสนิทของฉัน
26,เพื่อนอะไรบอกฝันดีก่อนนอน
27,เพื่อนแบบไหนดมหัวแล้วบอกหอม
28,เริ่มไม่แน่ใจ เอาหน้ามาใกล้ตลอด
29,เวลาฉันต้องการใคร ก็เป็นเธอที่มากอด
30,ใจเธอคิดเหมือนกันหรือเปล่า
31,เจอ แบบนี้ไปฉันแอบเผลอใจให้ไป
32,แม้มันไม่อาจเป็นจริง
33,ถ้าเธอให้ฉันเป็นเพื่อนเล่น
34,อย่าเล่นเกินกว่านั้นได้ไหม
35,ถ้าฉันเล่นเกินเส้นไป เธอรับได้ไหม
36,ช่วยบอกฉันสักที ว่าที่ฉันยืน
37,เธอยืนที่เดียวกันไหม
38,ถ้าเธอไม่เคยที่จะรู้สึกเหมือนที่ใจฉันรู้สึก
39,แค่เพื่อนเล่น ฉันก็เป็นให้เธอไม่ไหว
40,จะได้พร้อมทำใจ รอให้เธอบอก
41,ว่าเป็น เพื่อนกันเท่านั้น
42,หยุดเล่นเกินเพื่อนเล่น
43,ได้แต่พยายามจะไม่คิดอะไร
44,ที่ไม่ควรคิด
45,เวลาที่เราใกล้ชิดมากไป
46,รู้ตัวอีกที ในใจมีแต่คำถาม
47,มากมายเกินจะทนไหว
48,บอกฉันทีจะได้ไหม
49,ถ้าเธอให้ฉันเป็นเพื่อนเล่น
50,อย่าเล่นเกินกว่านั้นได้ไหม
51,ถ้าฉันเล่นเกินเส้นไป เธอรับได้ไหม
52,ช่วยบอกฉันสักที ว่าที่ฉันยืน
53,เธอยืนที่เดียวกันไหม
54,ถ้าเธอไม่เคยที่จะรู้สึกเหมือนที่ใจฉันรู้สึก
55,แค่เพื่อนเล่น ฉันก็เป็นให้เธอไม่ไหว
56,จะได้พร้อมทำใจ รอให้เธอบอก
57,ว่าเป็น เพื่อนกันเท่านั้น
58,หยุดเล่นเกินเพื่อนเล่น
59,
60,ไม่รู้ทำไม ทุกครั้งที่ตื่นมาตอนเช้า
61,สิ่ง ๆ แรกที่ฉันนั้นคิด
62,อาจจะฟังดูไม่ค่อยดี
63,วันจันทร์ ฉันคิดถึงเธออยู่
64,วันอังคาร ไปหาได้ไหม
65,หากวันพุธ เธอต้องตื่นเช้า
66,เดี๋ยวไปเจอตอนกลางคืนก็ได้ เดี๋ยวจะรอ
67,พฤหัสศุกร์ เธออยู่ไหน
68,เสาร์อาทิตย์ อยู่ด้วยกันไหม (เอ่)
69,อยากเจอทุกวัน อยากเจอทุกวัน
70,ไม่รู้ตอนนี้เธอนั้นจะทำอะไรอยู่
71,แต่ว่าฉันไม่ทำ
72,ไม่เป็นอันทำอะไร เอาแต่คิดถึงเธอไปวัน ๆ
73,เธอก็คงไม่รู้อะดิว่า ๑ สัปดาห์น่ะมีอยู่ ๗ วัน
74,ในหนึ่งวัน ๒๔ ชั่วโมง ๑๔๔๐ นาที
75,๘๖๔๐๐ วินาที คิดถึงเธอทุกที
76,เธอไม่รู้อะดิ เธอไม่รู้อะดิ เธอไม่รู้อะดิ
77,วันจันทร์ ฉันคิดถึงเธออยู่
78,วันอังคาร ไปหาได้ไหม
79,หากวันพุธ เธอต้องตื่นเช้า
80,เดี๋ยวไปเจอตอนกลางคืนก็ได้ เดี๋ยวจะรอ
81,พฤหัสศุกร์ เธออยู่ไหน
82,เสาร์อาทิตย์ อยู่ด้วยกันไหม (เอ่)
83,อยากเจอทุกวัน อยากเจอทุกวัน
84,แค่อยากเจอ เธอทุกวัน
85,แค่อยากเจอ เธอทุกวัน
86,แค่อยากเจอ เธอทุกวัน
87,แค่อยาก เจอ
88,วันจันทร์ ฉันคิดถึงเธออยู่
89,วันอังคาร ไปหาได้ไหม
90,หากวันพุธ เธอต้องตื่นเช้า
91,เดี๋ยวไปเจอตอนกลางคืนก็ได้ เดี๋ยวจะรอ
92,พฤหัสศุกร์ เธออยู่ไหน
93,เสาร์อาทิตย์ อยู่ด้วยกันไหม (เอ่)
94,อยากเจอทุกวัน อยากเจอทุกวัน
95,วันจันทร์ ฉันคิดถึงเธออยู่
96,วันอังคาร ไปหาได้ไหม
97,หากวันพุธ เธอต้องตื่นเช้า
98,เดี๋ยวไปเจอตอนกลางคืนก็ได้ เดี๋ยวจะรอ
99,พฤหัสศุกร์ เธออยู่ไหน
100,เสาร์อาทิตย์ อยู่ด้วยกันไหม (เอ่)
101,อยากเจอทุกวัน อยากเจอทุกวัน
102,แค่อยากเจอ เธอทุกวัน (ไม่รู้ตอนนี้เธอนั้นจะทำอะไรอยู่ แต่ว่าฉันไม่ทำ)
103,แค่อยากเจอ เธอทุกวัน (ไม่รู้ตอนนี้เธอนั้นจะทำอะไรอยู่ แต่ว่าฉันไม่ทำ)
104,แค่อยากเจอ เธอทุกวัน (ไม่รู้ตอนนี้เธอนั้นจะทำอะไรอยู่ แต่ว่าฉันไม่ทำ)
105,แค่อยาก เจอ (ไม่รู้ตอนนี้เธอนั้นจะทำอะไรอยู่ แต่ว่าฉันไม่ทำ)
106,
107,ฉันช่างโชคดี ที่โลกนี้มีเธอทำให้ลืมเรื่องร้ายที่เจอ
108,ฉันช่างโชคดี ที่โลกนี้มีเธอทำให้ลืมเรื่องร้ายที่เจอ
109,ในยามที่ทุกข์ เธอเชียร์ ให้ลุกจากเตียง
110,ฉันเหมือนถูกต้องคำสาป
111,และฉันแพ้ทุกคราว
112,อย่าได้อายที่จะยิ้มมุมปาก
113,เธอเรียนโรงเรียนเวทมนตร์รึเปล่า(ฮอกหวอด)
114,เธอทำฉันจมด้วยมนตสกด
115,ฉันเคยเข้าใจว่าโลกมันเทา
116,ตอนนี้มันกลายเป็นดีไปหมดเลย
117,ฉันช่างโชคดี ที่โลกนี้มีเธอทำให้ลืมเรื่องร้ายที่เจอ
118,ฉันช่างโชคดี ที่โลกนี้มีเธอทำให้ลืมเรื่องร้ายที่เจอ
119,นอนฟัง เสียงคลื่นที่ซัดฝั่ง
120,บอกเล่าเรื่องราวที่ค้างคา
121,ดาวบนฟ้าเธอสอนฉันนับมัน
122,เราจะไปบนนั้นในซักวัน
123,อยากให้เธอเต้นรำกับฉันได้ไหม
124,เราทิ้งตัวลงบนพื้นทราย
