ตัวฉันก็ใช้ชีวิตไปแค่ผ่านผ่านไปเท่านั้น,neg
ถ้าเธอยิ้มฉันก็ดีใจ,pos
ได้อยู่เป็นเพื่อนคอยปลอบ,pos
ทุกยามเมื่อเธอหวั่นไหว,neg
เมื่อไรที่เธอผิดหวัง ฉันจะปลอบโยนหัวใจ,pos
จะกี่แผลที่เธอเจอ ฉันจะเยียวยาให้หาย,pos
แม้จะรู้ในตอนสุดท้ายเธอจะทิ้งกัน,neg
ชอบกว่านี้คงไม่ได้แล้ว,pos
อย่างน้อยก็มีความสุขที่แอบเพ้อ ซ่อนเอาไว้,pos
แค่นี้ก็มีความสุขดีนี่นา,pos
แค่ได้รักเธอฉันก็พอใจ,pos
ถ้าชอบก็ใช่ แล้วเธอก็ใช่มาก,pos
ฉันก็รู้ดีว่าเรื่องเรา มันคงไม่มีหวัง,neg
แต่เพราะรักเธอ ก็เลยยังไม่ไปไหน,pos
ฉันก็ยินดีแม้ความสุขนั้นไม่มีฉัน,pos
ฉันดีใจที่เธอเจอคนที่เหมาะสม,pos
ขืนอยู่กับฉันชีวิตของเธอคงล่มจม,neg
พ่อแม่ของเธอคงบอกคู่เธอเหมือนกิ่งทองใบหยก,pos
แต่ถ้าเป็นฉันคงเหมือนหนูตกถังข้าวสารดูสกปรก,neg
ไปกินข้าวกับญาติเธอ ฉันคงเป็นได้แค่ตัวตลก,neg
เธอจึงได้ครอบครองรอยยิ้มที่สวยงาม ขนาดนี้,pos
ความเดียวดายสลาย,pos
ฉันขอบคุณและให้คำสัญญา,pos
ว่าจะรักษาไว้,pos
และฉันคือคนโชคดี,pos
เธอคือชีวิตและลมหายใจ,pos
ดีใจเหลือเกินที่ไม่บังเอิญหรือว่าฝันไป,pos
ใกล้เธอแล้วรู้สึกดี,pos
พยายามจนวันนี้,pos
สุดท้ายรางวัลไม่มี,neg
วิ่งบนเส้นทางความรัก ไม่เจอเส้นชัยสักที,neg
เข้าข้างตัวเองในแง่ดี,pos
อย่างน้อยหัวใจเราก็แข็งแรง,pos
เหนื่อยก็พอไหว,pos
แต่เหนื่อยหัวใจจะทำไงดี,neg
เหมือนไม่มีเวลาถอดใจ,pos
ล้มก็สู้อีก ต้องสู้อีก,pos
อย่างน้อยหัวใจฉันก็แข็งแรง,pos
หยุดทำงาน เรามาเพื่อพักผ่อน,pos
ไม่ต้องไปกังวลกับเรื่องของใคร,pos
ได้รู้มันดีเพียงใด,pos
ไม่ต้องการกว่านี้,pos
ยิ้มข้างในใจ,pos
คือความสุขในใจของฉัน,pos
แค่นี้ก็ดีเกินพอ,pos
