ที่เธอเป็นเธออย่างนี้นะดีอยู่แล้ว,pos
ที่เป็นเธอแบบนี้นะดีอยู่แล้ว,pos
เป็นความธรรมดาที่แสนจะพิเศษ,pos
สำหรับฉันว่ามันดีที่สุดในใจแล้ว,pos
รู้บ้างไหมว่ามันดีที่สุดในใจฉันแล้ว,pos
เพียงเท่านี้ก็น่ารักดีอยู่แล้ว,pos
ที่เธอยิ้มอย่างนี้นะดีอยู่แล้ว,pos
ที่เธอเป็นแบบนี้นะดีอยู่แล้ว,pos
คนที่ฉันต้องการมากมายที่สุดก็คือเธอแค่เพียงผู้เดียวเท่านั้น,pos
ดวงดาวใดเล่าจะงดงามเท่าดวงตาของเธอ (ดวงตาของเธอ),pos
ฉันว่าไม่มีแล้วหญิงงามใดเล่าจะงดงามเท่าดวงใจของเธอ (ดวงใจของเธอ),pos
แบบนี้นะดีอยู่แล้ว,pos
ก่อนเธอจะลาไม่ต้องมาบอกว่ารัก,neg
เห็นไหมว่ามีน้ำตา,neg
ไม่สงสารกันบ้างเลย,neg
ฉันว่าไอ้เรื่องพรรค์นั้นมันน้ำลาย น้ำลาย น้ำลาย,neg
จำเลยจำเป็นต้องยอมจำใจแค่นั้นเอง,neg
สุดท้ายต้องมาโดนเธอเท,neg
เจ็บก็ต้องทน,neg
ต้องแอบร้องจนเลือดปนน้ำตา,neg
รักก็เหมือนระเบิดเวลานาฬิกาติ๊กตอก,neg
แต่ก่อนจะลาอย่ามาพูดดี,neg
ถ้าเธอแค่ไม่ต้องการให้ฉันได้อยู่ตรงนี้,neg
ไม่ต้องมาบอกว่ารัก,neg
รักฉันเพียงเท่านั้น,pos
คำโกหกเหล่านั้น,neg
ทำอะไรไม่ได้คงได้แต่ทำใจ,neg
แต่ฉากสุดท้ายคงเป็นฉันที่เสียใจ,neg
แต่สมองมันไม่เคยจำ,neg
ที่บอกรักกันมันก็แค่น้ำลาย,neg
แต่หากยืนยันจะไปพี่รั้งไม่ได้,neg
แต่จะให้พูดตรงตรงไม่ใช่คนแบบนั้น,neg
เธอฉันก็คนทำไมต้องเหยียบซ้ำ,neg
แม่หน้ามนรู้ว่าเธอเกลียดฉัน,neg
แต่มารยาทนิดนึงคนเคยรักให้เกียรติกันหน่อยสิ,neg
โอ้ ช่างงามเกินจริง,pos
ไม่มีที่ติ เหนือยิ่งทุกสิ่งที่พบเจอมา,pos
เพราะคุณ มีค่ากว่าสิ่งไหน ๆ,pos
มันคงสุขสม มีคุณและผมในงานวิวาห์,pos
จะไม่นอกใจ ให้ซ้ำทรวงใน ดั่งเช่นดารา,pos
ได้โปรดจันทรา บอกวรัญญา ว่าผมรักเธอ,pos
จะทำยังไงก็ไม่รัก,neg
ยังไงก็ไม่แคร์,neg
ไม่เห็นว่าจะมีความหมาย,neg
เธอคงจะไม่รัก,neg
ใช้เวลาที่มีอยู่ในความคิดเฉิ่มเฉิ่ม,neg
รักดีดีที่เธอมีให้กัน,pos
เธอใส่ใจคนอยู่เป็นร้อย,pos
คนถูกใจเธออยู่นับพัน,pos
เธอดูดีในแบบของเธอ,pos
อยู่เป็นความหวังของใครต่อใครให้ไปนานนาน,pos
เป็นที่รักของทุกทุกคน,pos
รู้สึกมันไม่ค่อยดีเหมือนมีอาการหวั่นไหว,neg
ฉันก็นอนไม่ค่อยจะหลับ,neg
ก็ตั้งแต่วันนั้นที่ฉันได้เจอเธอก็เผลอไปคิดว่ามันคือรัก,neg
