วิ่งตามเธออย่างนี้มันเหนื่อยรู้ไหม,neg
พอเหอะความเหงา,neg
เหมือนกับโกโบริที่ตอนจบต้องตาย,neg
ไม่ว่าเหงาเท่าไร,neg
เพลินไปด้วยกันก่อนไม่รีบร้อนไง,pos
แทบไม่ไหว,neg
ฉันสงสัยฉันไม่เข้าใจ,neg
ว่าความคิดถึงของเธอกับฉั,pos
ถ้าเธอเหงาเมื่อไร,neg
ละครน้ำเน่าดาวพระศุกร์ต้องอาย,neg
คิด(แต่ไม่)ถึง,neg
หนังมันเศร้าพูดไปแล้วก็เจ็บจี๊ด,neg
ตัววัดแสงมันบกพร่อง,neg
ที่ต้องคร่ำครวญแบบนี้,neg
ตอนนั้นที่พูดอะไรไม่ทันคิด,neg
ส่งไปไม่เคยถึงเธอเลย,neg
ดราม่ากว่านี้มีอีกไหม,neg
เพราะเรานั้นมีความสุขมากล้น,pos
เพราะฉันไม่พร้อมรักใครนอกจากเธอ,pos
ทําไมชีวิตมันดีอย่างนี้,pos
น้ำตาท่วมจอเป็นเราก็คงไม่ทนดู,neg
จะขอแก้ตัวก็คงไม่มีสิทธิ์,neg
รับบทคนแพ้ทุกทีทุกที,neg
เพราะฉันยังวิ่งตามไม่ทันเธอเลยสักครั้ง,neg
ยังนึกถึงวันนั้นวันที่เราหัวเราะกัน,pos
เหนื่อยล้ามานานเท่าไรก็ยังไปไม่ถึงไหน,neg
แสงงดงามแบบนี้ฟ้าสีครามอย่างนี้,pos
ที่บอกเลิกวันนั้นฉันไม่ได้ตั้งใจ,pos
ขอให้เธอและฉันได้เคียงคู่กันขอให้เราได้รักกันชัวนิรันดร์,pos
ถ้ารู้สึกมากกว่าที่เธอมีฉันก็คงแพ้ไป,neg
แต่ไม่ไหวเหมือนใจมันยังไม่พร้อม,neg
ยังรักเธอเหมือนเดิมแม้ในวันนี้,pos
เธอแค่หลอกถ่ายฉันอยู่นี่นา,neg
ก็ไม่มีเลยคนที่เข้าใจ,neg
ใครใครก็คอยจะทำร้าย,neg
ฉันผิดไปแล้ว,neg
ต้องร้อนรนอย่างนั้น,neg
ให้ฉันเป็นที่พักใจอยู่ตรงนี้,pos
แต่พอเอ่ยบงชูร์แล้วเขาก็บอกว่าลาก่อน,neg
รักปลอมปลอมอย่างกับเป็นพลาสติก,neg
อยู่กับฉันไม่ต้องคิดให้มันมาก,pos
ไม่เคยไม่คิดถึงเธอเลย,pos
และฉันคงดูไม่ออก,neg
ว่ามีใครทนทุกข์ทรมาน,neg
แต่เราไม่แคร์ไม่สน,neg
ไม่ว่ารักใครก็มีแต่ซ้ำเติม,neg
จะต้องเสียเธอไป,neg
ไม่เคยรู้,neg
แต่หัวใจไม่เคยได้ตอบ,neg
เพราะตอนนี้ฉันวิ่งตามเธอไม่ทัน,neg
ที่ตอนนั้นฉันพลั้งพูดไปเพราะใจร้อน
คิดว่าสักวันตัวฉันคงถูกลืม,neg
หัวใจยังแปลไม่ออก,neg
รู้บ้างไหมว่าเจ็บแค่ไหน,neg
เธอหันมาแล้วหัวเราะเฮฮา,pos
เธอขอให้อยู่เพื่อให้เธอสบายใจ,pos
โอ๊ยโคตรสบาย,pos
ฉันหวังให้เธอรักกัน,pos
ว่าเธอจะมาหลอก,neg
ไม่เคยลืมรอยยิ้มเธอสักครั้ง,pos
เธอยังดีที่สุดยังอบอุ่นกว่าใคร,pos
ว่าเรามันดวงตก,neg
คิดคิด(แต่ไม่)ถึงเธอ,neg
รักใครก็แพ้หมดรับบทช้ำไปและช้ำมา,neg
เธอยังอภัยให้ฉันอยู่ทุกครั้ง,pos
ถ้าเธอนั้นจะไม่กลับมา,neg
แต่ไม่มีไม่มีใครเข้าใจฉัน,neg
แค่นึกภาพตอนนั้นฉันก็มีน้ำตา,neg
เธอเคยรู้สึกเหงา,neg
ต่อให้ทุ่มเทไปเต็มที่สุดท้ายก็มีน้ำตาก่อน,neg
เพราะว่าฉันมีแต่เธอทั้งหัวใจ,pos

